,huid,lat_a,lat_b,lat_c
59,huid-9259-AA,3.92097269006378,3.920972688550302,38.0
60,huid-9857-AA,4.026765867598771,4.026767889227375,38.0
61,huid-7890-AA,3.7956525171183206,3.7956532081507732,38.0
62,huid-1027-AA,4.136582880132813,4.136582220449103,38.0
63,huid-10429-AB,3.8791338578667247,3.879136553474369,38.0
64,huid-11385-AA,3.765410286329021,3.7654390728206946,38.0
65,huid-12419-AB,3.8149895820706803,3.8149850387634268,38.0
66,huid-1919-AB,3.5403017722657046,3.5403027208853084,38.0
67,huid-170-AA,3.223100283678051,3.2231027737816746,38.0
68,huid-16260-AB,4.0609638625884115,4.0612499393438375,38.0
69,huid-11539-AB,3.593444960763523,3.593380465306445,38.0
70,huid-7866-AB,3.8265018798976067,3.826794874125692,38.0
71,huid-8427-AB,3.8497223721563874,3.849726769381167,38.0
72,huid-4840-AB,3.1897038935583835,3.1897045491818017,38.0
73,huid-10799-AB,4.09917726049971,4.098830678924466,38.0
74,huid-5640-AA,3.4919194283134134,3.491965757415109,38.0
75,huid-7282-AB,3.664355911193464,3.6643600602718784,38.0
76,huid-640-AA,4.117098138105985,4.11709812571421,38.0
77,huid-2482-AA,4.659939094878656,4.659937880631985,38.0
78,huid-12490-AA,3.64040021657981,3.6404726568631873,38.0
79,huid-8546-AA,3.711796477711742,3.711800492112193,38.0
80,huid-7884-AA,3.875440228635626,3.875440337159314,38.0
81,huid-338-AB,3.750718779369998,3.750721635227535,38.0
82,huid-12440-AA,3.811265035223594,3.81125976352724,38.0
83,huid-8658-AB,3.600884167009813,3.6008836744104764,38.0
84,huid-1855-AA,3.5671827832775005,3.5671829700504727,38.0
85,huid-14881-AB,3.7238100885839684,3.7238134638782703,38.0
86,huid-3439-AB,3.31252324159949,3.312530019284818,38.0
87,huid-8050-AB,3.732073384229723,3.7320819891726336,38.0
88,huid-10270-AA,4.250119536950832,4.2507823677209355,38.0
89,huid-13991-AA,3.745115301124813,3.745251628968676,38.0
90,huid-1216-AB,3.5548555915775495,3.5548608804734023,38.0
91,huid-161-AA,3.2623121026427713,3.262310691991764,38.0
92,huid-8387-AA,3.9352629969021233,3.935263767813234,38.0
93,huid-10097-AA,4.196570079049064,4.196654276952332,38.0
94,huid-41-AB,3.1964208780247874,3.196420980641625,38.0
95,huid-1229-AB,3.548900945814412,3.548908586447732,38.0
96,huid-6653-AA,3.1883794769071456,3.1883771560450516,38.0
97,huid-14177-AA,3.5500751721163906,3.5500698149418217,38.0
98,huid-1086-AA,3.535079375972702,3.5350797852018347,38.0
99,huid-7960-AB,3.7105949197009336,3.710594352996738,38.0
100,huid-13711-AB,4.025973494961736,4.026205708969366,38.0
101,huid-10333-AB,4.312209520435872,4.312421515467435,38.0
102,huid-1027-AB,4.148864603836467,4.148977756553083,38.0
103,huid-3744-AB,3.5539139192233975,3.5539140633252084,38.0
104,huid-15022-AA,3.6352698967341044,3.6352692332467536,38.0
105,huid-9152-AA,3.93965988432702,3.9396443067476064,38.0
106,huid-11637-AB,3.6188229828918006,3.6189054038846855,38.0
107,huid-15513-AA,4.207719299768065,4.207722324601844,38.0
108,huid-244-AB,3.7606317773645186,3.760631170278551,38.0
109,huid-4127-AA,3.630444551248375,3.6305758918099427,38.0
110,huid-15033-AB,3.6407427878562846,3.640743201046975,38.0
111,huid-6574-AB,3.7831008085251336,3.7830928406926985,38.0
112,huid-3189-AA,4.0237873788137595,4.023835933919611,38.0
113,huid-1138-AB,3.5650201908301784,3.565022821005927,38.0
114,huid-5549-AB,4.125489972342248,4.125519909176719,38.0
115,huid-290-AB,3.7896783757245247,3.789678202351339,38.0
116,huid-958-AA,4.110197645015923,4.110198266807849,38.0
117,huid-12935-AA,3.702936906656698,3.702939663583625,38.0
118,huid-8569-AB,3.784119284464733,3.7841171637445528,38.0
119,huid-1430-AB,4.050128700328748,4.050116614102342,38.0
120,huid-5549-AA,4.114449284451509,4.114604146111964,38.0
121,huid-13375-AA,4.082638398083783,4.082641225015714,38.0
122,huid-1159-AA,3.5018044426932153,3.501798576371347,38.0
123,huid-6349-AA,4.2714518846524365,4.271452349312298,38.0
124,huid-11865-AB,4.225742225754135,4.224689072924768,38.0
125,huid-8956-AA,4.236255776760836,4.2362406937531185,38.0
126,huid-9284-AA,3.890406395527565,3.8904069124233605,38.0
127,huid-10122-AA,4.115392886809357,4.1153779477770955,38.0
128,huid-6737-AB,3.2139772766088774,3.2140714605761698,38.0
129,huid-15620-AB,3.416494917152792,3.4165059085979266,38.0
130,huid-6448-AA,4.259452779015637,4.259311569652792,38.0
131,huid-7235-AA,3.6928371924311363,3.6928552197369506,38.0
132,huid-13409-AA,4.051319625374303,4.051319498221492,38.0
133,huid-4169-AB,3.6766907462325085,3.6766946945514767,38.0
134,huid-14511-AB,3.573447598866735,3.5734472244062543,38.0
135,huid-7074-AA,3.5550486985600758,3.5550485022879417,38.0
136,huid-10386-AA,3.8323051334367175,3.8322191577948748,38.0
137,huid-8050-AA,3.7303949986224074,3.730398549279913,38.0
138,huid-8691-AB,3.610887384357109,3.610888725967548,38.0
139,huid-4338-AA,3.859699823797965,3.859701926667286,38.0
140,huid-13286-AB,4.436686122587904,4.435144198521988,38.0
141,huid-3977-AA,3.7031547331984243,3.70312860768439,38.0
142,huid-9118-AA,3.912728853842303,3.913005190858758,38.0
143,huid-1572-AB,4.071208598560691,4.0727556302908186,38.0
144,huid-9412-AA,3.2533307149409723,3.2533128591222016,38.0
145,huid-14682-AB,4.514364429428347,4.514340395668437,38.0
146,huid-9168-AB,3.8795227964465777,3.879514536626007,38.0
147,huid-15027-AB,3.7051126396390086,3.705070477169642,38.0
148,huid-9962-AA,3.5301002473459118,3.5301008650583485,38.0
149,huid-568-AB,4.181508066075049,4.1815076768840305,38.0
150,huid-12224-AA,4.328395665201945,4.328665381133603,38.0
151,huid-13500-AA,4.208936264349379,4.208912357801479,38.0
152,huid-4767-AA,3.1353654558258874,3.135361384592207,38.0
153,huid-788-AA,4.0913736687650575,4.091336383305086,38.0
154,huid-7606-AB,3.4595206566644405,3.4595257395833414,38.0
155,huid-7226-AB,3.687270531491956,3.687287482620657,38.0
156,huid-12632-AA,3.2151954560344866,3.2152635813756887,38.0
157,huid-2899-AB,3.520539129207629,3.520597794390808,38.0
158,huid-1302-AA,4.366175267872927,4.366175233365062,38.0
159,huid-170-AB,3.227867715422865,3.2278993960012365,38.0
160,huid-14279-AA,3.776241006783585,3.77622702055719,38.0
161,huid-12638-AA,3.167685705785478,3.16767868439173,38.0
162,huid-9661-AA,3.7375212767388155,3.7374986328926334,38.0
163,huid-7138-AB,3.5276120791204137,3.5276070900237277,38.0
164,huid-4477-AB,4.036579327600404,4.036576436231401,38.0
165,huid-7125-AB,3.528667836221701,3.528685454558167,38.0
166,huid-7463-AA,4.889774374032161,4.891524881007092,38.0
167,huid-16047-AB,3.6140393659369647,3.6140381901711427,38.0
168,huid-13215-AA,3.587337841308959,3.587281572698898,38.0
169,huid-10069-AB,4.181190046413418,4.180999737240172,38.0
170,huid-14682-AA,4.4934545008252025,4.493461086327534,38.0
171,huid-15045-AB,4.027307198070132,4.0273078196878425,38.0
