UID,gap,gap_nosoc,evac,hform,emass1,emass2,efermi_hse,efermi_hse_nosoc,cbm,vbm,excitonmass1,excitonmass2,alphax,alphaz,bse_binding,c_11,c_12,c_22,dir_gap,gap_hse,dir_gap_hse,cbm_hse,vbm_hse,lattice_param
132,1.063679712886432,1.074027670107673,2.0489752570975464,0.1857146690055141,0.10071424241585422,0.10066935805102066,-4.658055533151843,-4.6529422680160994,-4.082979258105693,-5.146658970992125,0.0609822503611837,0.06075430310406477,3.497870226468857,0.2356438026266328,0.4757764386869191,46.75926004292155,19.580491812391386,47.80755043337272,1.2209734386869189,1.7743002447421805,1.9096813913102388,-3.8303185106128055,-5.604618755354986,4.215218
2693,0.9318333397619196,1.0767251642845042,4.753651009444226,-0.30047637451232845,0.4929270552049068,0.4928884666602394,-4.1357143310767315,-4.179022159444978,-3.833048230823763,-4.7648815705856835,0.2699946652586443,0.2699792088061229,9.468330635573816,0.4670058453172152,0.4542563397619195,83.11859301781773,19.6809557311345,83.47951417809612,0.9318333397619196,1.369604108877922,1.369604108877922,-3.4366883212348585,-4.806292430112782,3.547392
1614,1.5770685538707827,2.6454745862832736,3.351669809716851,-0.6145397920806097,0.5369446095017671,0.4975527708227802,-5.380304977631892,-4.743788385840189,-4.663161890436476,-6.240230444307259,0.2523900930694991,0.2440218727422288,2.5976502569714146,0.4613323631136253,0.7000279911488883,16.302985375551618,9.348431641678632,16.564641983573086,1.6281519911488882,2.403924088858916,2.543222534529356,-4.332764429388203,-6.736688518247119,4.502446
2827,0.9645436450701612,0.9802506213722736,3.9508325906050006,-1.3957475677414617,2.8813900061221136,0.9512819987406496,-6.466672146289134,-6.460456207256695,-5.883992401625438,-6.848536046695597,1.6181082550893704,0.48324905175391203,3.5266219767029603,0.3706959482958897,1.1837977562694246,84.47656847163184,31.33402750324975,84.65458362458615,1.1445067562694249,2.0227028863463703,2.297337006524584,-5.452438798208172,-7.4751416845545435,3.571413
1460,2.3238551772777027,2.3742107414076385,2.695948609695083,-0.9908707576606256,0.4476081445517697,0.4468342256723857,-5.250592044102163,-5.2211772732164965,-4.451492645240712,-6.775347822518414,3.3174094517251365,3.28954629641087,1.5975726730510933,0.3101180690605944,1.917860040864592,16.68907126147585,3.5207110380670152,17.96463064568053,3.094668040864592,3.1840789530976403,4.036824135576309,-4.18923239331432,-7.3733113464119615,4.283954
909,0.206814882590942,0.18101767737880525,5.184414591879301,-0.27586277451330604,0.16409931296746516,0.0760678121098913,-4.423635786199517,-4.431746848407308,-4.509903226975768,-4.716718109566712,0.04710605845695532,0.03504169039576134,251.55953142685368,0.7146471104947418,0.28714300284763183,72.517119547626,17.22786620534554,73.64336832352005,0.2536309262831277,0.2516516734780291,0.2516516734780291,-4.3050803131829785,-4.556731986661007,3.728284
3474,0.4138442537020968,0.4203591272472876,3.864586673554799,-1.2728589549303315,0.3769639513885488,0.31710819165739657,-4.583236998021208,-4.583253324685889,-4.792870316195864,-5.206714569897961,0.2355567098624477,0.1882292919830701,18.29633334918805,0.5255144046744342,0.3964798515326066,43.14604054745733,11.317388886523876,42.88790417771213,0.4181138515326066,0.9813748660007644,1.01249216706558,-4.104264740204652,-5.085639606205416,3.769916
130,0.6845443211663884,0.809945856842599,2.018906242792287,0.1438054100820474,0.08528280458761144,0.08522410323052257,-4.662010079640312,-4.677762678016639,-4.2334335807134185,-4.917977901879807,0.0453740839100892,0.0453140077334142,4.917475780337307,0.2471212810940657,0.3586893211663884,37.89026883251204,14.985000529777748,37.67275475772667,0.6845443211663884,1.233830861239777,1.233830861239777,-4.069601565439322,-5.303432426679096,4.352146
1436,2.004139518828108,2.7138930347522794,2.796679505254566,-0.9646326216926184,0.4614171804918356,0.46119223280005606,-5.699544512514452,-5.256185987160432,-4.971810300674839,-6.975949819502947,8.679798393224269,2.837158576446945,1.8710417910470696,0.3553723334728703,1.123988202164017,15.841366320874956,2.973611500894098,15.019978443480394,2.400829202164017,2.925616985757542,3.3776936111041165,-4.674350692223723,-7.599967677981268,4.487087
1418,4.5881064576724455,4.774495993986345,2.8599529092572302,-1.5321452338499186,0.3213332803943173,0.32109835164170386,-5.1708911186173845,-5.265405699050175,-2.6498463226302404,-7.237952780302685,0.2163550746793872,0.21619548264582386,1.1149205716384516,0.3282949437785261,1.2360384576724457,34.15784392849774,9.517111311470707,34.46238561406487,4.5881064576724455,5.744420890628533,5.744420890628533,-2.2986806736263854,-8.043101564254918,3.883533
1461,1.836618379703384,2.0432990143497483,3.1168551395270963,-0.5388967720049411,0.2701695476606075,0.2697125957843228,-4.82432318735762,-4.753044793490972,-4.069728340030872,-5.906346719734255,4.140489858710108,4.055623185989775,3.0306313427723377,0.4307141920680316,0.941856810886314,15.865509215550768,2.768513827568752,16.95949462731975,2.150361810886314,2.490076345989749,2.8202566491804864,-3.8325101737173153,-6.3225865197070625,4.575838
1552,2.536432162008764,2.6506782298851475,3.069244930734752,-0.4954969231335434,1.0092533682189486,1.0089580089008312,-4.9939971291513165,-4.951577196411248,-4.1303922369863795,-6.666824398995142,0.8599599092593139,0.8593648353255025,2.440159897764316,0.3989685138114854,1.455136716402531,36.560976109413836,10.372739218681048,36.384362534000076,2.7836267164025306,3.3326328071259814,3.6047245648271202,-3.910836752534681,-7.243469559660662,3.937553
1483,3.3527861978765503,3.4920539094277165,2.9664257191837606,-0.8431078926326151,0.7800431679360171,0.4033477150667495,-6.668116721756704,-4.807640583870845,-3.586555706174757,-6.939341904051307,0.22144392856293588,0.2212312067097354,1.6388690110629618,0.3483914571192286,1.444389052654054,34.932907080864496,15.130189762103074,35.99313495653985,3.380756052654053,4.5627699584791745,4.583360016376637,-3.246039253105073,-7.808809211584247,3.798107
138,1.6745388324595565,1.679718423632009,2.6044303706342053,-0.9773752797555132,1.0313090295187092e-46,0.41955471551686846,-5.2809349099567715,-5.330105694231069,-4.173815849118496,-5.848354681578053,0.29553507062082895,0.29532503017464584,2.2937415761730082,0.2341312457790521,1.4498193344662822,38.0775018411753,12.823680465089685,38.74075910040005,2.100681334466282,2.2178571229664494,2.75555317339924,-4.099509722446925,-6.317366845413375,3.342619
